Date,Start (ET),Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes
"Fri, Oct 30, 2015",9:00 pm,Box Score,Minnesota Timberwolves,95.0,Denver Nuggets,78.0,,
"Fri, Oct 30, 2015",7:30 pm,Box Score,Chicago Bulls,94.0,Detroit Pistons,98.0,OT,
"Fri, Oct 30, 2015",9:30 pm,Box Score,Golden State Warriors,112.0,Houston Rockets,92.0,,
"Fri, Oct 30, 2015",8:00 pm,Box Score,Washington Wizards,118.0,Milwaukee Bucks,113.0,,
"Fri, Oct 30, 2015",7:00 pm,Box Score,Oklahoma City Thunder,139.0,Orlando Magic,136.0,2OT,
"Fri, Oct 30, 2015",7:00 pm,Box Score,Utah Jazz,99.0,Philadelphia 76ers,71.0,,
"Fri, Oct 30, 2015",10:30 pm,Box Score,Portland Trail Blazers,92.0,Phoenix Suns,110.0,,
"Fri, Oct 30, 2015",10:00 pm,Box Score,Los Angeles Lakers,114.0,Sacramento Kings,132.0,,
"Fri, Oct 30, 2015",8:30 pm,Box Score,Brooklyn Nets,75.0,San Antonio Spurs,102.0,,
"Sat, Oct 31, 2015",7:00 pm,Box Score,Utah Jazz,97.0,Indiana Pacers,76.0,,
"Sat, Oct 31, 2015",10:30 pm,Box Score,Sacramento Kings,109.0,Los Angeles Clippers,114.0,,
"Sat, Oct 31, 2015",8:00 pm,Box Score,Brooklyn Nets,91.0,Memphis Grizzlies,101.0,,
"Sat, Oct 31, 2015",7:30 pm,Box Score,Golden State Warriors,134.0,New Orleans Pelicans,120.0,,
"Sat, Oct 31, 2015",10:00 pm,Box Score,Phoenix Suns,101.0,Portland Trail Blazers,90.0,,
"Sat, Oct 31, 2015",7:00 pm,Box Score,New York Knicks,117.0,Washington Wizards,110.0,,
November,,,,,,,,
"Sun, Nov 1, 2015",3:30 pm,Box Score,San Antonio Spurs,95.0,Boston Celtics,87.0,,
"Sun, Nov 1, 2015",7:00 pm,Box Score,Orlando Magic,87.0,Chicago Bulls,92.0,,
"Sun, Nov 1, 2015",2:00 pm,Box Score,Atlanta Hawks,94.0,Charlotte Hornets,92.0,,
"Sun, Nov 1, 2015",9:30 pm,Box Score,Dallas Mavericks,103.0,Los Angeles Lakers,93.0,,
"Sun, Nov 1, 2015",6:00 pm,Box Score,Houston Rockets,89.0,Miami Heat,109.0,,
"Sun, Nov 1, 2015",7:00 pm,Box Score,Denver Nuggets,93.0,Oklahoma City Thunder,117.0,,
"Sun, Nov 1, 2015",6:00 pm,Box Score,Milwaukee Bucks,87.0,Toronto Raptors,106.0,,
"Mon, Nov 2, 2015",7:30 pm,Box Score,Milwaukee Bucks,103.0,Brooklyn Nets,96.0,,
"Mon, Nov 2, 2015",10:30 pm,Box Score,Memphis Grizzlies,69.0,Golden State Warriors,119.0,,
"Mon, Nov 2, 2015",8:00 pm,Box Score,Oklahoma City Thunder,105.0,Houston Rockets,110.0,,
"Mon, Nov 2, 2015",10:30 pm,Box Score,Phoenix Suns,96.0,Los Angeles Clippers,102.0,,
"Mon, Nov 2, 2015",8:00 pm,Box Score,Portland Trail Blazers,106.0,Minnesota Timberwolves,101.0,,
"Mon, Nov 2, 2015",7:30 pm,Box Score,San Antonio Spurs,94.0,New York Knicks,84.0,,
"Mon, Nov 2, 2015",7:00 pm,Box Score,Cleveland Cavaliers,107.0,Philadelphia 76ers,100.0,,
"Tue, Nov 3, 2015",7:00 pm,Box Score,Chicago Bulls,105.0,Charlotte Hornets,130.0,,
"Tue, Nov 3, 2015",8:30 pm,Box Score,Toronto Raptors,102.0,Dallas Mavericks,91.0,,
"Tue, Nov 3, 2015",7:30 pm,Box Score,Indiana Pacers,94.0,Detroit Pistons,82.0,,
"Tue, Nov 3, 2015",10:30 pm,Box Score,Denver Nuggets,120.0,Los Angeles Lakers,109.0,,
"Tue, Nov 3, 2015",7:30 pm,Box Score,Atlanta Hawks,98.0,Miami Heat,92.0,,
"Tue, Nov 3, 2015",8:00 pm,Box Score,Orlando Magic,103.0,New Orleans Pelicans,94.0,,
"Tue, Nov 3, 2015",10:00 pm,Box Score,Memphis Grizzlies,103.0,Sacramento Kings,89.0,,
"Wed, Nov 4, 2015",8:00 pm,Box Score,Brooklyn Nets,87.0,Atlanta Hawks,101.0,,
"Wed, Nov 4, 2015",8:00 pm,Box Score,New York Knicks,86.0,Cleveland Cavaliers,96.0,,
"Wed, Nov 4, 2015",10:30 pm,Box Score,Los Angeles Clippers,108.0,Golden State Warriors,112.0,,
"Wed, Nov 4, 2015",8:00 pm,Box Score,Orlando Magic,114.0,Houston Rockets,119.0,OT,
"Wed, Nov 4, 2015",7:00 pm,Box Score,Boston Celtics,98.0,Indiana Pacers,100.0,,
"Wed, Nov 4, 2015",8:00 pm,Box Score,Philadelphia 76ers,87.0,Milwaukee Bucks,91.0,,
"Wed, Nov 4, 2015",8:00 pm,Box Score,Toronto Raptors,103.0,Oklahoma City Thunder,98.0,,
"Wed, Nov 4, 2015",9:00 pm,Box Score,Sacramento Kings,97.0,Phoenix Suns,118.0,,
"Wed, Nov 4, 2015",9:00 pm,Box Score,Portland Trail Blazers,108.0,Utah Jazz,92.0,,
"Wed, Nov 4, 2015",7:00 pm,Box Score,San Antonio Spurs,99.0,Washington Wizards,102.0,,
"Thu, Nov 5, 2015",8:00 pm,Box Score,Oklahoma City Thunder,98.0,Chicago Bulls,104.0,,
"Thu, Nov 5, 2015",8:30 pm,Box Score,Charlotte Hornets,108.0,Dallas Mavericks,94.0,,
"Thu, Nov 5, 2015",9:00 pm,Box Score,Utah Jazz,96.0,Denver Nuggets,84.0,,
"Thu, Nov 5, 2015",8:00 pm,Box Score,Miami Heat,96.0,Minnesota Timberwolves,84.0,,
"Thu, Nov 5, 2015",10:30 pm,Box Score,Memphis Grizzlies,96.0,Portland Trail Blazers,115.0,,
"Fri, Nov 6, 2015",7:30 pm,Box Score,Washington Wizards,98.0,Boston Celtics,118.0,,
"Fri, Nov 6, 2015",7:30 pm,Box Score,Los Angeles Lakers,104.0,Brooklyn Nets,98.0,,
"Fri, Nov 6, 2015",7:30 pm,Box Score,Philadelphia 76ers,102.0,Cleveland Cavaliers,108.0,,
"Fri, Nov 6, 2015",10:30 pm,Box Score,Denver Nuggets,104.0,Golden State Warriors,119.0,,
"Fri, Nov 6, 2015",8:00 pm,Box Score,Miami Heat,87.0,Indiana Pacers,90.0,,
"Fri, Nov 6, 2015",8:00 pm,Box Score,Atlanta Hawks,121.0,New Orleans Pelicans,115.0,,
"Fri, Nov 6, 2015",7:30 pm,Box Score,Milwaukee Bucks,99.0,New York Knicks,92.0,,
"Fri, Nov 6, 2015",7:00 pm,Box Score,Toronto Raptors,87.0,Orlando Magic,92.0,,
"Fri, Nov 6, 2015",9:30 pm,Box Score,Detroit Pistons,100.0,Phoenix Suns,92.0,,
"Fri, Nov 6, 2015",10:30 pm,Box Score,Houston Rockets,116.0,Sacramento Kings,110.0,,
"Sat, Nov 7, 2015",7:30 pm,Box Score,Washington Wizards,99.0,Atlanta Hawks,114.0,,
"Sat, Nov 7, 2015",6:00 pm,Box Score,Minnesota Timberwolves,102.0,Chicago Bulls,93.0,OT,
"Sat, Nov 7, 2015",8:30 pm,Box Score,New Orleans Pelicans,98.0,Dallas Mavericks,107.0,,
"Sat, Nov 7, 2015",10:30 pm,Box Score,Houston Rockets,109.0,Los Angeles Clippers,105.0,,
"Sat, Nov 7, 2015",8:30 pm,Box Score,Brooklyn Nets,86.0,Milwaukee Bucks,94.0,,
"Sat, Nov 7, 2015",7:00 pm,Box Score,Orlando Magic,105.0,Philadelphia 76ers,97.0,,
"Sat, Nov 7, 2015",10:00 pm,Box Score,Golden State Warriors,103.0,Sacramento Kings,94.0,,
"Sat, Nov 7, 2015",8:30 pm,Box Score,Charlotte Hornets,94.0,San Antonio Spurs,114.0,,
"Sat, Nov 7, 2015",9:00 pm,Box Score,Memphis Grizzlies,79.0,Utah Jazz,89.0,,
"Sun, Nov 8, 2015",3:30 pm,Box Score,Indiana Pacers,97.0,Cleveland Cavaliers,101.0,,
"Sun, Nov 8, 2015",6:00 pm,Box Score,Toronto Raptors,76.0,Miami Heat,96.0,,
"Sun, Nov 8, 2015",3:30 pm,Box Score,Los Angeles Lakers,95.0,New York Knicks,99.0,,
"Sun, Nov 8, 2015",7:00 pm,Box Score,Phoenix Suns,103.0,Oklahoma City Thunder,124.0,,
"Sun, Nov 8, 2015",9:00 pm,Box Score,Detroit Pistons,120.0,Portland Trail Blazers,103.0,,
"Mon, Nov 9, 2015",8:00 pm,Box Score,Minnesota Timberwolves,117.0,Atlanta Hawks,107.0,,
"Mon, Nov 9, 2015",9:00 pm,Box Score,Portland Trail Blazers,104.0,Denver Nuggets,108.0,,
"Mon, Nov 9, 2015",10:30 pm,Box Score,Detroit Pistons,95.0,Golden State Warriors,109.0,,
"Mon, Nov 9, 2015",7:00 pm,Box Score,Orlando Magic,84.0,Indiana Pacers,97.0,,
"Mon, Nov 9, 2015",10:30 pm,Box Score,Memphis Grizzlies,92.0,Los Angeles Clippers,94.0,,
"Mon, Nov 9, 2015",7:00 pm,Box Score,Chicago Bulls,111.0,Philadelphia 76ers,88.0,,
"Mon, Nov 9, 2015",10:00 pm,Box Score,San Antonio Spurs,106.0,Sacramento Kings,88.0,,
"Tue, Nov 10, 2015",7:00 pm,Box Score,Utah Jazz,114.0,Cleveland Cavaliers,118.0,,
"Tue, Nov 10, 2015",7:30 pm,Box Score,Los Angeles Lakers,88.0,Miami Heat,101.0,,
"Tue, Nov 10, 2015",8:00 pm,Box Score,Boston Celtics,99.0,Milwaukee Bucks,83.0,,
"Tue, Nov 10, 2015",8:00 pm,Box Score,Charlotte Hornets,104.0,Minnesota Timberwolves,95.0,,
"Tue, Nov 10, 2015",8:00 pm,Box Score,Dallas Mavericks,105.0,New Orleans Pelicans,120.0,,
"Tue, Nov 10, 2015",7:30 pm,Box Score,New York Knicks,111.0,Toronto Raptors,109.0,,
"Tue, Nov 10, 2015",7:00 pm,Box Score,Oklahoma City Thunder,125.0,Washington Wizards,101.0,,
"Wed, Nov 11, 2015",8:00 pm,Box Score,New Orleans Pelicans,98.0,Atlanta Hawks,106.0,,
"Wed, Nov 11, 2015",7:30 pm,Box Score,Indiana Pacers,102.0,Boston Celtics,91.0,,
"Wed, Nov 11, 2015",7:00 pm,Box Score,New York Knicks,93.0,Charlotte Hornets,95.0,,
"Wed, Nov 11, 2015",8:00 pm,Box Score,Los Angeles Clippers,108.0,Dallas Mavericks,118.0,,
"Wed, Nov 11, 2015",9:00 pm,Box Score,Milwaukee Bucks,102.0,Denver Nuggets,103.0,,
"Wed, Nov 11, 2015",8:00 pm,Box Score,Brooklyn Nets,106.0,Houston Rockets,98.0,,
"Wed, Nov 11, 2015",8:00 pm,Box Score,Golden State Warriors,100.0,Memphis Grizzlies,84.0,,
"Wed, Nov 11, 2015",7:00 pm,Box Score,Los Angeles Lakers,99.0,Orlando Magic,101.0,,
"Wed, Nov 11, 2015",7:00 pm,Box Score,Toronto Raptors,119.0,Philadelphia 76ers,103.0,,
"Wed, Nov 11, 2015",10:30 pm,Box Score,San Antonio Spurs,113.0,Portland Trail Blazers,101.0,,
"Wed, Nov 11, 2015",10:00 pm,Box Score,Detroit Pistons,92.0,Sacramento Kings,101.0,,
"Thu, Nov 12, 2015",7:30 pm,Box Score,Utah Jazz,91.0,Miami Heat,92.0,,
"Thu, Nov 12, 2015",8:00 pm,Box Score,Golden State Warriors,129.0,Minnesota Timberwolves,116.0,,
"Thu, Nov 12, 2015",10:30 pm,Box Score,Los Angeles Clippers,104.0,Phoenix Suns,118.0,,
"Fri, Nov 13, 2015",7:30 pm,Box Score,Atlanta Hawks,93.0,Boston Celtics,106.0,,
"Fri, Nov 13, 2015",8:00 pm,Box Score,Charlotte Hornets,97.0,Chicago Bulls,102.0,,
"Fri, Nov 13, 2015",8:30 pm,Box Score,Los Angeles Lakers,82.0,Dallas Mavericks,90.0,,
"Fri, Nov 13, 2015",9:00 pm,Box Score,Houston Rockets,98.0,Denver Nuggets,107.0,,
"Fri, Nov 13, 2015",7:00 pm,Box Score,Minnesota Timberwolves,103.0,Indiana Pacers,107.0,,
"Fri, Nov 13, 2015",8:00 pm,Box Score,Portland Trail Blazers,100.0,Memphis Grizzlies,101.0,,
"Fri, Nov 13, 2015",7:30 pm,Box Score,Cleveland Cavaliers,90.0,New York Knicks,84.0,,
"Fri, Nov 13, 2015",8:00 pm,Box Score,Philadelphia 76ers,85.0,Oklahoma City Thunder,102.0,,
"Fri, Nov 13, 2015",7:00 pm,Box Score,Utah Jazz,93.0,Orlando Magic,102.0,,
"Fri, Nov 13, 2015",10:00 pm,Box Score,Brooklyn Nets,109.0,Sacramento Kings,111.0,,
"Fri, Nov 13, 2015",7:30 pm,Box Score,New Orleans Pelicans,81.0,Toronto Raptors,100.0,,
"Sat, Nov 14, 2015",10:30 pm,Box Score,Brooklyn Nets,99.0,Golden State Warriors,107.0,OT,
"Sat, Nov 14, 2015",8:00 pm,Box Score,Dallas Mavericks,110.0,Houston Rockets,98.0,,
"Sat, Nov 14, 2015",3:30 pm,Box Score,Detroit Pistons,96.0,Los Angeles Clippers,101.0,,
"Sat, Nov 14, 2015",8:30 pm,Box Score,Cleveland Cavaliers,105.0,Milwaukee Bucks,108.0,2OT,
"Sat, Nov 14, 2015",9:00 pm,Box Score,Denver Nuggets,81.0,Phoenix Suns,105.0,,
"Sat, Nov 14, 2015",8:30 pm,Box Score,Philadelphia 76ers,83.0,San Antonio Spurs,92.0,,
"Sat, Nov 14, 2015",7:00 pm,Box Score,Orlando Magic,99.0,Washington Wizards,108.0,,
"Sun, Nov 15, 2015",6:00 pm,Box Score,Utah Jazz,97.0,Atlanta Hawks,96.0,,
"Sun, Nov 15, 2015",5:00 pm,Box Score,Portland Trail Blazers,94.0,Charlotte Hornets,106.0,,
"Sun, Nov 15, 2015",9:30 pm,Box Score,Detroit Pistons,85.0,Los Angeles Lakers,97.0,,
"Sun, Nov 15, 2015",3:30 pm,Box Score,Memphis Grizzlies,114.0,Minnesota Timberwolves,106.0,,
"Sun, Nov 15, 2015",12:00 pm,Box Score,New Orleans Pelicans,87.0,New York Knicks,95.0,,
"Sun, Nov 15, 2015",7:00 pm,Box Score,Boston Celtics,100.0,Oklahoma City Thunder,85.0,,
"Sun, Nov 15, 2015",9:00 pm,Box Score,Toronto Raptors,101.0,Sacramento Kings,107.0,,
"Mon, Nov 16, 2015",8:00 pm,Box Score,Indiana Pacers,95.0,Chicago Bulls,96.0,,
"Mon, Nov 16, 2015",8:00 pm,Box Score,Boston Celtics,111.0,Houston Rockets,95.0,,
"Mon, Nov 16, 2015",8:00 pm,Box Score,Oklahoma City Thunder,114.0,Memphis Grizzlies,122.0,,
"Mon, Nov 16, 2015",7:00 pm,Box Score,Dallas Mavericks,92.0,Philadelphia 76ers,86.0,,
"Mon, Nov 16, 2015",9:00 pm,Box Score,Los Angeles Lakers,101.0,Phoenix Suns,120.0,,
"Mon, Nov 16, 2015",8:30 pm,Box Score,Portland Trail Blazers,80.0,San Antonio Spurs,93.0,,
"Tue, Nov 17, 2015",7:30 pm,Box Score,Atlanta Hawks,88.0,Brooklyn Nets,90.0,,
"Tue, Nov 17, 2015",7:30 pm,Box Score,Cleveland Cavaliers,99.0,Detroit Pistons,104.0,,
"Tue, Nov 17, 2015",10:30 pm,Box Score,Toronto Raptors,110.0,Golden State Warriors,115.0,,
"Tue, Nov 17, 2015",7:30 pm,Box Score,Minnesota Timberwolves,103.0,Miami Heat,91.0,,
"Tue, Nov 17, 2015",8:00 pm,Box Score,Denver Nuggets,115.0,New Orleans Pelicans,98.0,,
"Tue, Nov 17, 2015",7:30 pm,Box Score,Charlotte Hornets,94.0,New York Knicks,102.0,,
"Tue, Nov 17, 2015",7:00 pm,Box Score,Milwaukee Bucks,86.0,Washington Wizards,115.0,,
"Wed, Nov 18, 2015",8:00 pm,Box Score,Sacramento Kings,97.0,Atlanta Hawks,103.0,,
"Wed, Nov 18, 2015",7:30 pm,Box Score,Dallas Mavericks,106.0,Boston Celtics,102.0,,
"Wed, Nov 18, 2015",7:00 pm,Box Score,Brooklyn Nets,111.0,Charlotte Hornets,116.0,,
"Wed, Nov 18, 2015",8:00 pm,Box Score,Portland Trail Blazers,103.0,Houston Rockets,108.0,OT,
"Wed, Nov 18, 2015",8:00 pm,Box Score,New Orleans Pelicans,103.0,Oklahoma City Thunder,110.0,,
"Wed, Nov 18, 2015",7:00 pm,Box Score,Minnesota Timberwolves,101.0,Orlando Magic,104.0,OT,
"Wed, Nov 18, 2015",7:00 pm,Box Score,Indiana Pacers,112.0,Philadelphia 76ers,85.0,,
"Wed, Nov 18, 2015",10:30 pm,Box Score,Chicago Bulls,103.0,Phoenix Suns,97.0,,
"Wed, Nov 18, 2015",8:30 pm,Box Score,Denver Nuggets,98.0,San Antonio Spurs,109.0,,
"Wed, Nov 18, 2015",9:00 pm,Box Score,Toronto Raptors,89.0,Utah Jazz,93.0,,
"Thu, Nov 19, 2015",8:00 pm,Box Score,Milwaukee Bucks,100.0,Cleveland Cavaliers,115.0,,
"Thu, Nov 19, 2015",10:30 pm,Box Score,Golden State Warriors,124.0,Los Angeles Clippers,117.0,,
"Thu, Nov 19, 2015",7:30 pm,Box Score,Sacramento Kings,109.0,Miami Heat,116.0,,
"Fri, Nov 20, 2015",7:30 pm,Box Score,Brooklyn Nets,95.0,Boston Celtics,120.0,,
"Fri, Nov 20, 2015",7:00 pm,Box Score,Philadelphia 76ers,88.0,Charlotte Hornets,113.0,,
"Fri, Nov 20, 2015",8:30 pm,Box Score,Utah Jazz,93.0,Dallas Mavericks,102.0,,
"Fri, Nov 20, 2015",9:00 pm,Box Score,Phoenix Suns,114.0,Denver Nuggets,107.0,,
"Fri, Nov 20, 2015",10:30 pm,Box Score,Chicago Bulls,94.0,Golden State Warriors,106.0,,
"Fri, Nov 20, 2015",10:30 pm,Box Score,Toronto Raptors,102.0,Los Angeles Lakers,91.0,,
"Fri, Nov 20, 2015",8:00 pm,Box Score,Houston Rockets,84.0,Memphis Grizzlies,96.0,,
"Fri, Nov 20, 2015",8:00 pm,Box Score,Detroit Pistons,96.0,Minnesota Timberwolves,86.0,,
"Fri, Nov 20, 2015",8:00 pm,Box Score,San Antonio Spurs,90.0,New Orleans Pelicans,104.0,,
"Fri, Nov 20, 2015",8:00 pm,Box Score,New York Knicks,93.0,Oklahoma City Thunder,90.0,,
"Fri, Nov 20, 2015",10:00 pm,Box Score,Los Angeles Clippers,91.0,Portland Trail Blazers,102.0,,
"Sat, Nov 21, 2015",7:30 pm,Box Score,Atlanta Hawks,97.0,Cleveland Cavaliers,109.0,,
"Sat, Nov 21, 2015",7:30 pm,Box Score,Washington Wizards,97.0,Detroit Pistons,95.0,,
"Sat, Nov 21, 2015",8:00 pm,Box Score,New York Knicks,107.0,Houston Rockets,102.0,,
"Sat, Nov 21, 2015",7:00 pm,Box Score,Milwaukee Bucks,86.0,Indiana Pacers,123.0,,
"Sat, Nov 21, 2015",8:00 pm,Box Score,Philadelphia 76ers,91.0,Miami Heat,96.0,,
"Sat, Nov 21, 2015",5:00 pm,Box Score,Sacramento Kings,97.0,Orlando Magic,91.0,,
"Sat, Nov 21, 2015",8:30 pm,Box Score,Memphis Grizzlies,82.0,San Antonio Spurs,92.0,,
"Sun, Nov 22, 2015",6:00 pm,Box Score,Boston Celtics,101.0,Brooklyn Nets,111.0,,
"Sun, Nov 22, 2015",8:00 pm,Box Score,Golden State Warriors,118.0,Denver Nuggets,105.0,,
"Sun, Nov 22, 2015",3:30 pm,Box Score,Toronto Raptors,91.0,Los Angeles Clippers,80.0,,
"Sun, Nov 22, 2015",9:30 pm,Box Score,Portland Trail Blazers,107.0,Los Angeles Lakers,93.0,,
"Sun, Nov 22, 2015",6:00 pm,Box Score,Phoenix Suns,116.0,New Orleans Pelicans,122.0,,
"Sun, Nov 22, 2015",7:00 pm,Box Score,Dallas Mavericks,114.0,Oklahoma City Thunder,117.0,,
"Mon, Nov 23, 2015",7:00 pm,Box Score,Sacramento Kings,122.0,Charlotte Hornets,127.0,OT,
"Mon, Nov 23, 2015",7:00 pm,Box Score,Orlando Magic,103.0,Cleveland Cavaliers,117.0,,
"Mon, Nov 23, 2015",7:30 pm,Box Score,New York Knicks,78.0,Miami Heat,95.0,,
"Mon, Nov 23, 2015",8:00 pm,Box Score,Detroit Pistons,88.0,Milwaukee Bucks,109.0,,
"Mon, Nov 23, 2015",8:00 pm,Box Score,Philadelphia 76ers,95.0,Minnesota Timberwolves,100.0,,
"Mon, Nov 23, 2015",8:30 pm,Box Score,Phoenix Suns,84.0,San Antonio Spurs,98.0,,
"Mon, Nov 23, 2015",9:00 pm,Box Score,Oklahoma City Thunder,111.0,Utah Jazz,89.0,,
"Tue, Nov 24, 2015",8:00 pm,Box Score,Boston Celtics,97.0,Atlanta Hawks,121.0,,
"Tue, Nov 24, 2015",9:00 pm,Box Score,Los Angeles Clippers,111.0,Denver Nuggets,94.0,,
"Tue, Nov 24, 2015",10:30 pm,Box Score,Los Angeles Lakers,77.0,Golden State Warriors,111.0,,
"Tue, Nov 24, 2015",8:00 pm,Box Score,Dallas Mavericks,96.0,Memphis Grizzlies,110.0,,
"Tue, Nov 24, 2015",10:00 pm,Box Score,Chicago Bulls,93.0,Portland Trail Blazers,88.0,,
"Tue, Nov 24, 2015",7:00 pm,Box Score,Indiana Pacers,123.0,Washington Wizards,106.0,,
"Wed, Nov 25, 2015",7:30 pm,Box Score,Philadelphia 76ers,80.0,Boston Celtics,84.0,,
"Wed, Nov 25, 2015",7:00 pm,Box Score,Washington Wizards,87.0,Charlotte Hornets,101.0,,
"Wed, Nov 25, 2015",7:30 pm,Box Score,Miami Heat,81.0,Detroit Pistons,104.0,,
"Wed, Nov 25, 2015",8:00 pm,Box Score,Memphis Grizzlies,102.0,Houston Rockets,93.0,,
"Wed, Nov 25, 2015",10:30 pm,Box Score,Utah Jazz,102.0,Los Angeles Clippers,91.0,,
"Wed, Nov 25, 2015",8:00 pm,Box Score,Sacramento Kings,129.0,Milwaukee Bucks,118.0,,
"Wed, Nov 25, 2015",8:00 pm,Box Score,Atlanta Hawks,95.0,Minnesota Timberwolves,99.0,,
"Wed, Nov 25, 2015",8:00 pm,Box Score,Brooklyn Nets,99.0,Oklahoma City Thunder,110.0,,
"Wed, Nov 25, 2015",7:00 pm,Box Score,New York Knicks,91.0,Orlando Magic,100.0,,
"Wed, Nov 25, 2015",9:00 pm,Box Score,New Orleans Pelicans,120.0,Phoenix Suns,114.0,,
"Wed, Nov 25, 2015",8:30 pm,Box Score,Dallas Mavericks,83.0,San Antonio Spurs,88.0,,
"Wed, Nov 25, 2015",7:30 pm,Box Score,Cleveland Cavaliers,99.0,Toronto Raptors,103.0,,
"Fri, Nov 27, 2015",7:30 pm,Box Score,Washington Wizards,78.0,Boston Celtics,111.0,,
"Fri, Nov 27, 2015",7:00 pm,Box Score,Cleveland Cavaliers,95.0,Charlotte Hornets,90.0,,
"Fri, Nov 27, 2015",9:00 pm,Box Score,San Antonio Spurs,91.0,Denver Nuggets,80.0,,
"Fri, Nov 27, 2015",8:00 pm,Box Score,Philadelphia 76ers,114.0,Houston Rockets,116.0,,
"Fri, Nov 27, 2015",8:00 pm,Box Score,Chicago Bulls,92.0,Indiana Pacers,104.0,,
"Fri, Nov 27, 2015",10:30 pm,Box Score,New Orleans Pelicans,90.0,Los Angeles Clippers,111.0,,
"Fri, Nov 27, 2015",8:00 pm,Box Score,Atlanta Hawks,116.0,Memphis Grizzlies,101.0,,
"Fri, Nov 27, 2015",7:30 pm,Box Score,Miami Heat,97.0,New York Knicks,78.0,,
"Fri, Nov 27, 2015",8:00 pm,Box Score,Detroit Pistons,87.0,Oklahoma City Thunder,103.0,,
"Fri, Nov 27, 2015",7:00 pm,Box Score,Milwaukee Bucks,90.0,Orlando Magic,114.0,,
"Fri, Nov 27, 2015",9:30 pm,Box Score,Golden State Warriors,135.0,Phoenix Suns,116.0,,
"Fri, Nov 27, 2015",10:00 pm,Box Score,Minnesota Timberwolves,101.0,Sacramento Kings,91.0,,
"Sat, Nov 28, 2015",7:30 pm,Box Score,Brooklyn Nets,88.0,Cleveland Cavaliers,90.0,,
"Sat, Nov 28, 2015",8:30 pm,Box Score,Denver Nuggets,81.0,Dallas Mavericks,92.0,,
"Sat, Nov 28, 2015",10:30 pm,Box Score,Sacramento Kings,101.0,Golden State Warriors,120.0,,
"Sat, Nov 28, 2015",10:00 pm,Box Score,Los Angeles Lakers,96.0,Portland Trail Blazers,108.0,,
"Sat, Nov 28, 2015",8:30 pm,Box Score,Atlanta Hawks,88.0,San Antonio Spurs,108.0,,
"Sat, Nov 28, 2015",9:00 pm,Box Score,New Orleans Pelicans,87.0,Utah Jazz,101.0,,
"Sat, Nov 28, 2015",7:00 pm,Box Score,Toronto Raptors,84.0,Washington Wizards,82.0,,
